Question,Option A,Option B,Option C,Option D,Correct Answer,Subject,Topic,Year
Which of the following is not a greenhouse gas?,CO2,CH4,O3,H2,D,Chemistry,Environmental Chemistry,2023
"At any instant of time t, the displacement of any particle is given by 2t - 1 (SI unit) under the influence of force of 5N. The value of instantaneous power is (in SI unit):",5,7,6,10,D,Physics,"Work, Power and Energy",2024
"If the monochromatic source in Young’s double slit experiment is replaced by white light, then",Central dark fringe with coloured fringes,Central bright fringe with coloured fringes,All bright fringes equal width,Interference disappears,B,Physics,Wave Optics,2024
"In the nuclear emission stated above, the mass number and atomic number of the product Q respectively, are:","286, 80","288, 82","286, 81","280, 81",C,Physics,Nuclei,2024
Match the materials to their magnetic susceptibilities.,"A – II, B – I, C – III, D – IV","A – III, B – II, C – I, D – IV","A – IV, B – III, C – II, D – I","A – II, B – III, C – IV, D – I",D,Physics,Magnetism and Matter,2024
"In the given circuit, the equivalent capacitance between A and B is:",1 µF,0.5 µF,4 µF,2 µF,D,Physics,Electrostatics,2024
A thin spherical shell is charged. The potential difference between two internal points C and P is:,5×10¹,5.05×10¹,0,5.3×10¹,C,Physics,Electrostatics,2024
The logic gate output Y matches which gate?,NOR,OR,AND,NAND,C,Physics,Logic Gates,2024
An unpolarized light hits glass at Brewster’s angle. Which is true?,Refracted light is completely polarized,Both are completely polarized,"Reflected fully, refracted partially",Reflected partially,C,Physics,Polarization,2024
"A coil of 100 turns (10 cm radius, 7 A current). Magnetic field at center is:",4.4 T,4.4 mT,44 T,44 mT,B,Physics,Magnetostatics,2024
One magnet moves toward another solenoid. Current directions in solenoids 1 and 2 are:,BA and CD,AB and CD,BA and DC,AB and DC,D,Physics,Electromagnetic Induction,2024
"Two bodies A and B of equal mass collide inelastically. A moves with v, B is at rest. Final velocity v. Find v_A:v_B",2:1,4:1,1:4,1:2,A,Physics,Laws of Motion,2024
"Battery with emf 10V, internal resistance 1Ω, external resistance 4Ω. Terminal voltage is:",6V,8V,10V,4V,B,Physics,Current Electricity,2024
A particle in circular motion maintains:,Constant acceleration,"Constant velocity, varying acceleration",Varying velocity and varying acceleration,Constant velocity,C,Physics,Circular Motion,2024
"A ray enters a prism (angle of incidence 30°), travels parallel to base. Refractive index is:",√5/2,√3/4,3/2,5/4,A,Physics,Optics,2024
"A bullock cart wheel rolls on a road with linear speed v. Point P (top) and Q (bottom), speeds?",P faster than Q,P = Q,P zero,P slower than Q,A,Physics,Rotation,2024
Thermodynamic cycle abcda; work done from b to c is:,30 J,-90 J,-60 J,Zero,D,Physics,Thermodynamics,2024
"In an ideal transformer, turns ratio Ns/Np = 2. Voltage ratio Vs/Vp is:",2:1,1:1,1:4,1:2,A,Physics,Alternating Current,2024
"Maximum elongation of 1m steel wire (elastic limit = 8×10⁷ N/m², Y = 2×10¹¹ N/m²):",0.4 mm,40 mm,8 mm,4 mm,D,Physics,Mechanical Properties of Solids,2024
A planet has 1/10th mass and half the diameter of Earth. Gravity on it is:,9.8 m/s²,4.9 m/s²,3.92 m/s²,19.6 m/s²,C,Physics,Gravitation,2024
"In a vernier caliper, (N+1) divisions = N main scale divisions. If 1 MSD = 0.1 mm, LC is:",100/(N+1) cm,100N,10(N+1),10N,A,Physics,Measurements,2024
Statement I: Atoms are neutral (equal +ve and -ve charges). Statement II: Each atom emits characteristic spectrum.,Both incorrect,"I correct, II incorrect","I incorrect, II correct",Both correct,B,Physics,Structure of Atom,2024
10 N force applied to 2 kg block A. Block B (3 kg) in contact. Find force by A on B (frictionless).,4 N,6 N,10 N,Zero,B,Physics,Laws of Motion,2024
Which have same dimensions as solid angle?,Stress and angle,Strain and arc,Angular speed and stress,Strain and angle,D,Physics,Dimensions and Units,2024
"Moment of inertia of rod (midpoint axis) is 2400 g·cm², mass 400g. Find length:",17.5 cm,20.7 cm,72.0 cm,8.5 cm,D,Physics,Rotational Motion,2024
